commercialCode,상권_코드_명,상권_구분_코드,상권_구분_코드_명,totalTrafficFoot,activeTrafficFoot,eveningTrafficFoot,nightTrafficFoot,ageTrafficFoot,totalSales,totalStores,openedStores,closedStores,franchiseStores,openedRate,closedRate,franchiseRate,totalConsumption
3001491,이태원 관광특구,U,관광특구,2131046,45.98319322999128,33.690826007509926,20.326027687811525,42.049939325570634,87417419505.0,1678,37,51,73,2.205005959475566,3.0393325387365913,4.350417163289631,3597923964.0
3001492,명동 남대문 북창동 다동 무교동 관광특구,U,관광특구,6822274,70.34377393813264,24.02096427085749,5.635247133140651,44.52847760145664,401116610220.0,8273,127,163,565,1.5351142270035054,1.9702647165478062,6.829445183125831,799060474.0
3001493,동대문패션타운 관광특구,U,관광특구,3189182,50.396653436523856,29.707116119431255,19.896199088042014,45.295324945393524,118439165805.0,11774,54,308,197,0.45863767623577373,2.6159334126040426,1.6731781892305078,1889505008.0
3001494,종로?청계 관광특구,U,관광특구,8353018,62.14256930848228,27.629271240646197,10.22815945087153,47.62347453339619,256439388280.0,4953,76,116,223,1.5344235816676761,2.342014940440137,4.502321825156471,1880810046.0
3001495,잠실 관광특구,U,관광특구,4005509,49.485695825424436,33.21143455176359,17.30281969157977,41.03323198125382,136323156492.0,2431,77,63,303,3.167420814479638,2.5915261209378855,12.46400658165364,8751576599.0
3001496,강남 마이스 관광특구,U,관광특구,116820,67.75209724362267,26.393596986817325,5.8534497517548365,39.929207327512415,202546596438.0,787,4,22,108,0.5082592121982211,2.7954256670902162,13.722998729351971,
3110001,이북5도청사,A,골목상권,126315,43.83802398764992,30.56564936864189,25.59632664370819,49.08419427621423,500512411.0,35,0,2,4,0.0,5.714285714285714,11.428571428571429,520427635.0
3110002,독립문역 1번,A,골목상권,547929,49.09084936186988,29.684685424571434,21.224830224353887,46.91636142638919,6512749006.0,87,1,3,7,1.1494252873563218,3.4482758620689653,8.045977011494253,232465205.0
3110003,세검정초등학교,A,골목상권,552786,38.719866277365924,25.284106326860666,35.99602739577341,45.736758890420525,1133233913.0,125,4,3,8,3.2,2.4,6.4,1349699230.0
3110004,대신고등학교,A,골목상권,642932,48.579632060622274,32.01038367976707,19.410295334498826,45.38245102125886,372556076.0,28,1,0,3,3.571428571428571,0.0,10.714285714285714,712772785.0
3110005,세검정,A,골목상권,110053,44.046050539285616,29.802913141849835,26.149219012657536,47.64090938002599,749260423.0,74,1,2,6,1.3513513513513513,2.7027027027027026,8.108108108108109,884701599.0
3110006,부암동주민센터,A,골목상권,7335,50.08861622358555,30.743012951601912,19.141104294478527,50.178595773687796,74355956.0,23,1,0,1,4.3478260869565215,0.0,4.3478260869565215,267177363.0
3110007,사직공원(한국사회과학도서관),A,골목상권,906104,41.17286757370015,28.43150455135393,30.395738237553303,44.11237010321111,44515972.0,70,0,1,1,0.0,1.4285714285714286,1.4285714285714286,1357989746.0
3110008,배화여자대학교(박노수미술관),A,골목상권,1251380,44.9749077018971,28.806997075228946,26.218175134651347,43.56249900110278,5654671682.0,255,9,7,6,3.5294117647058822,2.7450980392156863,2.3529411764705883,2746062777.0
3110009,자하문터널,A,골목상권,162009,42.41060681813973,29.55946891839342,28.029924263466842,47.59186218049614,1024868063.0,101,2,4,2,1.9801980198019802,3.9603960396039604,1.9801980198019802,982492942.0
3110010,평창동서측,A,골목상권,122420,41.45809508250286,26.78810651854272,31.754615258944618,49.59941186080706,2685726619.0,178,4,5,12,2.247191011235955,2.8089887640449436,6.741573033707865,2243586695.0
3110012,성곡미술관,A,골목상권,606444,53.748408756620556,26.14487075476054,20.1067204886189,46.4755690550158,4442556449.0,562,2,11,19,0.3558718861209964,1.9572953736654803,3.3807829181494666,1224738411.0
3110013,체부동홍종문가옥,A,골목상권,118925,49.471515661130965,29.94912760142947,20.580197603531637,43.37902039100273,4341867.0,27,0,0,0,0.0,0.0,0.0,190109278.0
3110014,경복고등학교,A,골목상권,57976,61.65827238857459,25.246653787774253,13.09852352697668,42.559076169449426,418053205.0,42,0,1,1,0.0,2.380952380952381,2.380952380952381,246628270.0
3110015,청와대사랑채,A,골목상권,71466,60.13069151764475,28.68496907620407,11.184339406151176,45.05520107463689,222539608.0,29,1,0,1,3.4482758620689653,0.0,3.4482758620689653,340654450.0
